,id,title,text,entity,negative,key_entity,our_negative,our_key_entity
23,51,,经查，2014年8月以来，汪志三等人依托浙江万银电子商务有限公司建立中佳易购电子商务平台，在未经国家金融主管部门批准的情况下，打着消费返利的幌子，以300天日均返还商户全额让利保证金、400-500天日均赠送会员对应商户让利保证金3倍消费积分为诱饵，采用开推介会、微信推广等方式大肆宣传，并通过发展区域代理商扩张，诱骗、吸引商户加盟、蛊惑会员消费的手段推广,中佳易购;返利;万银电子商务有限公司,1,中佳易购,1,万银电子商务有限公司;中佳易购
83,169,@小资钱包抱团取暖：#小资钱包涉嫌诈骗[超话]# #中纪委监察部[超话]# @海淀公安分局 @央视新闻 @平安北京 作为易通贷的“难兄难弟”资易贷（小资钱包）也是性质及其恶劣，逾期8个月，毫无还款意愿，强烈恳求海淀经侦尽快正式立案，将相关人员刑事控制。,@小资钱包抱团取暖：#小资钱包涉嫌诈骗[超话]# #中纪委监察部[超话]# @海淀公安分局 @央视新闻 @平安北京 作为易通贷的难兄难弟资易贷（小资钱包）也是性质及其恶劣，逾期8个月，毫无还款意愿，强烈恳求海淀经侦尽快正式立案，将相关人员刑事控制。,易通贷;小资钱包;资易贷,1,易通贷;小资钱包,1,易通贷;资易贷;小资钱包
100,203,青蓝金服和金碗理财两家P2P因涉嫌非吸被立案侦查！, {IMG:1} {IMG:2} 近日，杭州市公安局高新区（滨江）分局发布关于青蓝金服和金碗理财案情通报显示，两平台均因涉嫌非法吸收公众存款案于2019年7月30日被正式立案侦查。 根据通报，杭州市公安局高新区（滨江）分局已经于2019年7月30日正式对杭州友米金融服务外包有限公司（该公司下设青蓝金服平台）涉嫌非法吸收公众存款案进行立案侦查。 {IMG:3} 同时，杭州市公安局高新区（滨江）分局已经于2019年7月30日正式对杭州金碗网络科技有限公司（该公司下设金碗理财平台）涉嫌非法吸收公众存款案进行立案侦查。公安机关将全力开展案件侦办并做好追赃挽损工作，切实保护群众合法权益。 {IMG:4} 公安机关将全力开展案件侦办并做好追赃挽损工作，切实保护群众合法权益。投资人现可通过杭州市公安局警察叔叔APP或者杭州公安微信公众号微警务版块中网络借贷平台投资人登记功能进行登记。 警方提醒，希望投资人能够配合公安机关开展调查取证，并通过合理合法途径反映情况和诉求，不信谣，不传谣。公安机关将依照法律程序适时公布案件进展情况。 投资永远是收益和风险成正比，风险意识最重要，投资之前先学习，不了解，看不懂，不投资。 实现资产翻番需要多久： 根据理财投资七十二法则，我们不难算出时下主要理财渠道实现资产翻番所需时间： 1.储蓄：现在1年期的定期存款利率是1.5%，本金翻一番需用时间： 72÷1.5=48年。 2.股票：股市风云变幻大家已经感受过了，不同于固定收益类投资，股市是动态的，长期来看，股民中 7赔2平1赚的格局永远不会变。 3.余额宝：按余额宝最近的收益2.5%计算，本金翻番的时间为： 72÷3≈24年。 4.p2p：年化收益率10%左右，本金翻番的时间为： 72÷10 ≈7年。 近期精彩文章 ⊙ 金融受害人请愿书！还我血汗钱，严惩犯罪分子！ ⊙ 突发！文章、马伊琍终离婚！破镜难再缘，婚姻要及时止损 ⊙ 金信网案30人被执行逮捕，微车融案已发全国协查4人被逮捕！ ⊙ 上周P2P行业动向：12家立案平台有进展（名单） ⊙ 这家会计师事务所又爆雷了，手上31个IPO项目全被叫停！ ⊙ 八月这些新规，将影响你我生活！ ⊙ 就要用新钱了！别说你还不认识！为了它，银行也有大动作 ⊙ 汇源回应网信逾期：仅逾期4900万 出借人：还钱！ ⊙ 太突然！全球最大超市突然入驻中囯！沃尔玛、大润发要慌了！ ⊙ P2P现状：备案落空、转型艰难 平台退出耍套路 ⊙ 惊天大雷！暴风集团实控人被抓，400亿市值崩到20亿… 声明：文章不构成投资建议，转载请注明出处 （观点仅供参考，不代表金融天天曝立场） 赞是一种鼓励 |? 分享是最好的支持 如有侵权请联系我们删除 文章仅供学习交流，不构成投资建议 投稿加个人微信：jinrongtiantianbao 关注，是对我们的最大鼓励！ {IMG:5} ,青蓝金福;杭州金碗网络科技有限公司;青蓝金服;杭州友米金融服务外包有限公司;金碗理财,1,青蓝金福;杭州金碗网络科技有限公司;杭州友米金融服务外包有限公司;金碗理财,1,金碗理财;杭州金碗网络科技有限公司;杭州友米金融服务外包有限公司;青蓝金福;青蓝金服
102,206,"【凉凉】高返利平台频爆雷,继唐小僧后联璧金融也倒下了"," {IMG:1} 《金卡生活》杂志 中国银联 主管主办 理论研究 实务探讨 {IMG:2} 长按二维码关注我们 {IMG:3} 继债市、股市、汇市震荡之后，互金行业也也迎来了风波，线上高返利平台频频发生爆雷事件。 近日，据《每日经济新闻》报道，上海联璧电子科技（集团）有限公司（联璧金融运营主体公司）已被公安部门立案侦查，立案缘由是涉嫌非法吸收公众存款，经侦人员表示这主要是由于人数超过30人、金额超过100万元、还本付息这三个特点。公安只是启动调查，最终的结论以法院的判决为主。 {IMG:4} 来源| 《每日经济新闻》 高收益、高返利，联璧金融爆雷 深陷挤兑风波。随着联璧金融被曝出疑似爆雷的消息后，投资者纷纷陷入恐慌情绪中，目前已经有投资者建立了维权群，并且联璧金融总部聚集了不少维权者。另外，联璧金融官网及App还曾出现过无法访问的情况。对于种种非正常情况，客服方面回应称，主要是受互联网金融大环境影响，近日联璧金融用户出现集中兑付的现象较为严重，不排除有恶意挤兑现象，联璧金融一直运营稳定，最新进展将在6月21日15时发布统一答复。 然而，截至6月21日15时，投资者并未收到相应的回应，相反却等来了公安部门正在对包括高管、中层在内的工作人员进行传唤，并已经着手对公司相关资金账户、资产进行冻结的噩耗。据报道，警方带走联璧多名员工及若干箱办公用品，警方表示上海联璧电子科技（集团）有限公司已被公安部门立案侦查。 {IMG:5} 来源| 《每日经济新闻》 根据企查查数据显示，上海联璧电子科技（集团）有限公司成立于2012年，总部位于上海市松江区，注册资本16666.7万元。2014年，公司推出微信版理财平台联币钱包及App产品联璧金融。值得注意的是，公司至今未上线银行存管。 另据创业邦数据显示，公司于2016年5月27日获得麒麟资本投资的B轮融资，融资金额为8,000万人民币。 {IMG:6} 疯狂返利，0元购路由器。联璧金融的理财逻辑主要依托于0元路由器，具体来看，新用户通过京东购买斐讯路由器，即可获得特定的K码，此时用户需要通过身份证、银行卡和手机号等个人信息来将其激活。若激活成功，则会在联璧金融App上自动生成一笔定期存款，分期返现。 {IMG:7} 白送路由器的营销策略自然是吸引了许多用户，甚至一度让斐讯路由器占据京东路由器销量第一的位置。 我们来算一笔账，联璧金融这种看似稳亏不赚的营销方式如何盈利？首先，通过京东0元购路由器的手段在大大减少了获客成本，白送的路由器自然是吸引了大批投资者，同时购买的用户越多，路由器的销量便越高，从而推动更多投资者的加入，形成正向循环。其次，通过分期返现的方式，可以让联璧金融在短期内获得大量现金流，通过现金流进行相关投资、理财可以在一定程度上弥补巨额的成本。最后，整个盈利模式背后仍是一个庞氏骗局，其需要通过源源不断的新用户来创造更多的现金流弥补窟窿，因此并非是长久之计。 降低风险，投资回归理性 高返利平台多为庞氏骗局。近期，互金理财平台特别是高返利平台频频发生爆雷事件，先有钱宝网、雅堂金融爆雷，而后今年6月16日，唐小僧在也被传出疑似爆雷的消息。 对此，盈灿咨询高级研究员张叶霞表示，这类平台返利力度非常大，有些年化投资回报远超36%；另外，高返利平台具有明显的庞氏骗局特征，通过拉人头提高客户量，并根据下线的人头数量获取阶梯性投资回报；高返利平台经常出现在羊毛群等渠道，平台聚集了大量的羊毛客，客户忠诚度偏低；平台信息披露相对较差，产品信息严重缺失，产品合规度游走在监管边缘。 在苏宁金融研究院互联网金融研究中心主任薛洪言看来，之所以被称作高返利平台，就是因为羊毛太厚，在业务层面不具有可持续性，所以有不少平台就打起了投资者资金的主意，套取投资者资金用于返利，做起旁氏骗局。一旦平台走上旁氏骗局之路，出问题就是迟早的事情。 投资人应提高警惕避免踩雷。在投资的世界里，收益和风险是正相关的，因此，高收益的背后也意味着高风险，面对类似于0元购路由器的活动，投资者们应当首先在心中打个问号，天下真的有免费的午餐吗？ 6月14日，在2018陆家嘴论坛上，中国银保监会主席郭树清谈及非法集资问题时再度提醒，高收益意味着高风险，收益率超过6%的就要打问号，超过8%的就很危险，10%以上就要准备损失全部本金。一旦发现承诺高回报的理财产品和投资公司，就要相互提醒、积极举报，让各种金融诈骗和不断变异的庞氏骗局无处遁形。 此外，目前金融市场流动性整体收紧，在债市方面，近期债券市场违约事件频发。根据数据统计，截至2018年6月19日，违约债券数量共计177只，涉及违约主体98家，累计违约金额总计高达826.09亿元。从历年违约金额统计来看，2016年违约金额最高，达到321.59亿元。今年是信用债偿付高峰期，截止6月19日，违约债券金额也达到146.03亿元。因此，从市场行情上来看，未来互金平台爆雷事情发生率仍有上升趋势，因此，投资者在做投资决策时，应加大对于投资风险的考虑，尽可能选择低风险投资标的。 薛洪言强调，资管新规以后，无论是传统金融机构的理财产品还是P2P投资产品，都在强调打破刚性兑付，投资者承担投资理财的实质性风险成为大趋势。建议投资者顺应行业趋势，降低债务性投资品的配置比例，可适当调高货币基金配置比例。在债务性理财产品选择上，也要降低收益率预期，向持牌机构发行的低风险理财产品回归；在平台选择上，应主动向持牌机构和巨头回归。 最后，投资者在选择投资平台时，应充分关注平台资产、信息披露、股东背景、高管团队、相关新闻，以及政策要求的三级等保、第三方银行存管等，从而降低此类踩雷事件的发生。 ",联璧金融;唐小僧;上海联璧电子科技（集团）有限公司;联币钱包,1,唐小僧;上海联璧电子科技（集团）有限公司;联币钱包,1,唐小僧;上海联璧电子科技（集团）有限公司;联璧金融;联币钱包
126,251,,跑路存钱罐王聪创办newdex已募集120万eos，当年欠的3000个比特币该还了吧！,eos;newdex;存钱罐,1,newdex;存钱罐,1,存钱罐;newdex;eos
132,266,#恒丰银行与小资钱包1[超话]#这个世界，心真大！！！????????? 一个逾期几亿资金半年多的平台（小资钱包）； 一个被各地媒体竞相报到涉嫌利用虚假合同非法骗取资金的平台（小资钱包）； 一个被全国几千出借人投诉半年多无动于衷的平台（小资钱包）； 一个被海淀经侦受案侦查十多天的平台（小...全文：  ?,#恒丰银行与小资钱包1[超话]#这个世界，心真大！！！????????? 一个逾期几亿资金半年多的平台（小资钱包）； 一个被各地媒体竞相报到涉嫌利用虚假合同非法骗取资金的平台（小资钱包）； 一个被全国几千出借人投诉半年多无动于衷的平台（小资钱包）； 一个被海淀经侦受案侦查十多天的平台（小...全文： http://m.weibo.cn/6917952291/4352256352197242 ?,小资钱包;恒丰银行,1,小资钱包,1,恒丰银行;小资钱包
144,286,,前日至昨日，云南省昆明市中级人民法院对被告单位昆明泛亚有色金属交易所股份有限公司、云南天浩稀贵金属股份有限公司等4家公司以及单九良等21名被告人涉嫌非法吸收公众存款罪、单九良和杨国红涉嫌职务侵占罪一案依法公开开庭审理,泛亚有色金属交易所;贵金属;云南天浩稀贵金属股份有限公司;昆明泛亚有色金属交易所股份有限公司;昆明泛亚有色,1,云南天浩稀贵金属股份有限公司;昆明泛亚有色金属交易所股份有限公司;昆明泛亚有色,1,云南天浩稀贵金属股份有限公司;昆明泛亚有色金属交易所股份有限公司
148,290,#恒丰银行与小资钱包1[超话]##小资钱包[超话]##扫黑除恶[超话]# 法治社会，百姓需要真正的公平公正 北京海淀公安分局办案警官：安少东、姜超，罔顾事实，不顾小资钱包诈骗集团7000余名无辜受害者的合法诉求，公然将侵吞4.4个多亿诈骗集团法人李兆民等6名高管以证据不足为由保释，且已草草结案将所谓的...全文：  ?,#恒丰银行与小资钱包1[超话]##小资钱包[超话]##扫黑除恶[超话]# 法治社会，百姓需要真正的公平公正 北京海淀公安分局办案警官：安少东、姜超，罔顾事实，不顾小资钱包诈骗集团7000余名无辜受害者的合法诉求，公然将侵吞4.4个多亿诈骗集团法人李兆民等6名高管以证据不足为由保释，且已草草结案将所谓的...全文： http://m.weibo.cn/6897290518/4386699876489371 ?,小资钱包;恒丰银行,1,小资钱包,1,恒丰银行;小资钱包
162,326,????//@Getgoing:#斐讯0元购调查# 斐讯旗下的联璧金融也写的平台资金托管银行为北京银行……时至今日，斐讯还未被立案，魔幻上海。@正义网 @中国警方在线 @中国长安网 ,????//@Getgoing:#斐讯0元购调查# 斐讯旗下的联璧金融也写的平台资金托管银行为北京银行……时至今日，斐讯还未被立案，魔幻上海。@正义网 @中国警方在线 @中国长安网 http://t.cn/Ail0SMYo,联璧金融;斐讯;北京银行,1,联璧金融;斐讯,1,斐讯;北京银行;联璧金融
174,351,????//@BlackAnt黑蚂蚁:在我们国家，老百姓太不容易了。夸克金融涉嫌诈骗怎么就没有敢出来管的呢。#夸克金融# #才米公社#,????//@BlackAnt黑蚂蚁:在我们国家，老百姓太不容易了。夸克金融涉嫌诈骗怎么就没有敢出来管的呢。#夸克金融# #才米公社#,才米公社;黑蚂蚁;夸克金融,1,夸克金融,1,夸克金融;才米公社
